indicator_id,project_name,task_name,indicator_name,year,target_value,source_sheet,source_excel_row
ind_2f78ebd098,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 입학자 수,2027,2132,2026,34
ind_2f78ebd098,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 입학자 수,2028,2147,2026,34
ind_2f78ebd098,1. 인력양성,1-2. 이차전지 단독형,(신규) 대학 전체 입학자 수,2029,2162,2026,34
ind_04ecf68b92,1. 인력양성,1-2. 이차전지 단독형,01. 지산학연 특화 교수법 운영 실적,2025,12.3,2026,35
ind_04ecf68b92,1. 인력양성,1-2. 이차전지 단독형,01. 지산학연 특화 교수법 운영 실적,2026,14.8,2026,35
ind_04ecf68b92,1. 인력양성,1-2. 이차전지 단독형,01. 지산학연 특화 교수법 운영 실적,2027,18.5,2026,35
ind_04ecf68b92,1. 인력양성,1-2. 이차전지 단독형,01. 지산학연 특화 교수법 운영 실적,2028,22.2,2026,35
ind_04ecf68b92,1. 인력양성,1-2. 이차전지 단독형,01. 지산학연 특화 교수법 운영 실적,2029,25.9,2026,35
ind_25ac353144,1. 인력양성,1-2. 이차전지 단독형,02. 교육과정 개발 실적,2025,1,2026,38
ind_25ac353144,1. 인력양성,1-2. 이차전지 단독형,02. 교육과정 개발 실적,2026,3.1,2026,38
ind_25ac353144,1. 인력양성,1-2. 이차전지 단독형,02. 교육과정 개발 실적,2027,5.5,2026,38
ind_25ac353144,1. 인력양성,1-2. 이차전지 단독형,02. 교육과정 개발 실적,2028,7.2,2026,38
ind_25ac353144,1. 인력양성,1-2. 이차전지 단독형,02. 교육과정 개발 실적,2029,9.6,2026,38
ind_50274365d6,1. 인력양성,1-2. 이차전지 단독형,03. 캡스톤디자인 이수학생 수,2025,70,2026,41
ind_50274365d6,1. 인력양성,1-2. 이차전지 단독형,03. 캡스톤디자인 이수학생 수,2026,75,2026,41
ind_50274365d6,1. 인력양성,1-2. 이차전지 단독형,03. 캡스톤디자인 이수학생 수,2027,77.5,2026,41
ind_50274365d6,1. 인력양성,1-2. 이차전지 단독형,03. 캡스톤디자인 이수학생 수,2028,82.5,2026,41
ind_50274365d6,1. 인력양성,1-2. 이차전지 단독형,03. 캡스톤디자인 이수학생 수,2029,85,2026,41
ind_9f383b4889,1. 인력양성,1-3. 바이오 단독형,02. 지역 내 취업자 수,2025,6,2026,46
ind_9f383b4889,1. 인력양성,1-3. 바이오 단독형,02. 지역 내 취업자 수,2026,7,2026,46
ind_9f383b4889,1. 인력양성,1-3. 바이오 단독형,02. 지역 내 취업자 수,2027,8,2026,46
ind_9f383b4889,1. 인력양성,1-3. 바이오 단독형,02. 지역 내 취업자 수,2028,9,2026,46
ind_9f383b4889,1. 인력양성,1-3. 바이오 단독형,02. 지역 내 취업자 수,2029,10,2026,46
