indicator_id,project_name,task_name,indicator_name,year,actual_value,target_value,achievement_rate,value_source,source_sheet,source_excel_row
ind_b3637511c8,2. 공동연구센터,1-4. 첨단바이오,02. 특허 출원 건수,2025,3,8,,EXCEL_2026_AH_COLUMN,2026,237
ind_45327acd82,2. 공동연구센터,1-4. 첨단바이오,03. 국내 특허 등록 건수,2025,37,35,,EXCEL_2026_AH_COLUMN,2026,238
ind_82dc89ee83,2. 공동연구센터,1-4. 첨단바이오,04. 해외 특허 등록 건수,2025,11,8,,EXCEL_2026_AH_COLUMN,2026,239
ind_8c9ca7c589,2. 공동연구센터,1-4. 첨단바이오,05. (SCI(E)급) 논문 게재 건수,2025,0,38,,EXCEL_2026_AH_COLUMN,2026,240
ind_36083b3611,2. 공동연구센터,1-4. 첨단바이오,06. (KCI급) 논문 게재 건수,2025,41,45,,EXCEL_2026_AH_COLUMN,2026,241
ind_1bf9b094ba,2. 공동연구센터,1-4. 첨단바이오,07. 기타 지식재산권 등록 건수(디자인권·상표권·실용신안 등),2025,6,3,,EXCEL_2026_AH_COLUMN,2026,242
ind_569570fcc7,2. 공동연구센터,1-4. 첨단바이오,08. 지산학연 공동연구를 통해 창출한 기술이전 수익,2025,120,101,,EXCEL_2026_AH_COLUMN,2026,243
ind_1e5c60517e,2. 공동연구센터,1-4. 첨단바이오,09. 지산학연 공동연구를 통해 창출한 기술이전 건수,2025,0,15,,EXCEL_2026_AH_COLUMN,2026,244
ind_f69c3719ae,2. 공동연구센터,1-4. 첨단바이오,(신규) 대학 전임교원 수(2. 2. 2. 공동연구센터 참여 교원),2025,2,2,,EXCEL_2026_AH_COLUMN,2026,245
ind_88e74dfb06,2. 공동연구센터,1-4. 첨단바이오,10. 연구과제 수주 증가율,2025,26,24,,EXCEL_2026_AH_COLUMN,2026,246
ind_0b492accf0,2. 공동연구센터,1-4. 첨단바이오,12. 1억 미만 연구과제 수주 건수,2025,14,13,,EXCEL_2026_AH_COLUMN,2026,248
ind_d30be1d1ef,2. 공동연구센터,1-4. 첨단바이오,13. 미래전략산업 학생연구원 참여 증가율,2025,1,0,,EXCEL_2026_AH_COLUMN,2026,249
ind_202c95b215,2. 공동연구센터,1-4. 첨단바이오,14. 미래전략산업 학생연구원(학부) 참여자 수,2025,0,0,,EXCEL_2026_AH_COLUMN,2026,250
